qu	Japan	11区
santizonghezheng	trisomy	21三体综合症
sanddayin	3D print	3D打印
sanddayinji	3D printer	3D打印机
sanp	threesome	3P
sanq	thank you	3Q
wulingerjiao	cyanoacrylate glue	502胶
baba	bye-bye	88
jiujiuliu	9am–9pm, six days a week	996
a	steal	A
aazhi	split the bill	AA制
abzhi	split the bill	AB制
aka	A-list	A咖
aquanr	at symbol, @	A圈儿
apian	adult movie	A片
acai	A-choy, or Taiwanese lettuce	A菜
ahuo	good-quality fake	A货
bi	euphemistic variant of 屄[bi1]	B
bpji	beeper	BP机
bxingchaosheng	type-B ultrasound	B型超声
bige	variant of 逼格[bi1 ge2]	B格
bchao	B-mode ultrasonography	B超
cjb	doesn't live up to the hype	CJB
cpzhi	value for money	CP值
cwei	most prominent position	C位
dnajianding	DNA test	DNA鉴定
ezai	MDMA	E仔
gyou	see 基友[ji1 you3]	G友
gxianku	G-string	G弦裤
gdian	G-spot	G点
hqiao	H bridge	H桥
ip	intellectual property	IP
ipju	screen adaptation	IP剧
jkzhifu	high school girl’s uniform	JK制服
kren	hit sb	K人
kzai	ketamine	K仔
ktaming	ketamine	K他命
kfang	KTV	K房
kshu	cram	K书
kge	karaoke	K歌
kfen	ketamine	K粉
kxian	candlestick	K线
kxiantu	candlestick chart	K线图
kjin	see 開金|开金[kai1 jin1]	K金
lzhao	nude picture	L照
mc	menstruation	MC
mv	desirability as a partner	MV
mjin	menstrual pad	M巾
ng	blooper	NG
ngpianduan	blooper	NG片段
ngjingtou	blooper	NG镜头
njiu	a very long time	N久
ndang	neutral	N挡
okbeng	band-aid	OK绷
oxingtui	bow legs	O型腿
p	femme	P
pa	public area attendant	PA
pk	take on	PK
po	post	PO
powen	post a message	PO文
ptu	photoshop a picture	P图
pdang	park	P挡
pmin	shitizen	P民
q	cute	Q
qrkou	QR code	QR扣
qjin	springy mouthfeel	Q劲
qtan	springy	Q弹
t	butch	T
ta	he or she	TA
tfka	microSD card	TF卡
