lang:匈牙利语
ai	szeret	爱
ba	nyolc	八
baba	édesapa	爸爸
beizi	bögre	杯子
beijing	Peking	北京
ben	növényi gyökerek vagy szárak	本
bu	(negatív előtag)	不
cai	tányér	菜
cha	tea	茶
chi	eszik	吃
chuzuche	taxi	出租车
dadianhua	telefonhívás kezdeményezése	打电话
da	nagy	大
de	a	的
dian	pont	点
diannao	számítógépes	电脑
dianshi	televízión	电视
dianying	filmnézés	电影
dongxi	izé	东西
dou	az összes	都
du	olvasás (művelet)	读
duibuqi	méltatlan	对不起
duo	sok	多
duoshao	Mi volt az ára	多少
erzi	valakinek a fia	儿子
er	kettő	二
fanguan	Étterem	饭馆
feiji	repülőgép	飞机
fenzhong	perc	分钟
ge	個|个[gè] változata	个
gongzuo	munka	工作
gou	kutya	狗
hanyu	Kínai nyelv	汉语
hao	jó	好
he	ital	喝
he	és	和
hen	(fokhatározó)	很
houmian	hátsó	后面
hui	útkanyarulat	回
hui	 Elbocsát	会
huochezhan	vasútállomás	火车站
jia	kezdő pozíció	家
jiao	kiált	叫
jintian	ma	今天
jiu	kilenc	九
kai	tulajdonságok	开
kan	ld.	看
kuai	rög	块
lai	következik	来
laoshi	tanító	老师
le	(modális részecske intenzívebbé tétele előző pont)	了
leng	hideg	冷
li	li	里
ling	nulla	零
liu	hat	六
mama	Mama	妈妈
ma	Kérdés-tag	吗
mai	vásárolj	买
mao	macska	猫
mei	(igék negatív előtagja)	没
meiguanxi	Nem számít.	没关系
mifan	rizs	米饭
mingtian	holnap	明天
mingzi	Név	名字
na	hogyan	哪
na	amely	那
ne	részecske, amely azt jelzi, hogy egy korábban feltett kérdést kell alkalmazni az előző szóra	呢
neng	képesnek kell lennie arra, hogy	能
ni	te	你
nian	év	年
nuer	lány	女儿
pengyou	barát	朋友
piaoliang	szép	漂亮
pingguo	apple	苹果
qi	hét	七
qian	érmék	钱
qianmian	elõre	前面
qing	ask	请
qu	rajta!	去
re	felmelegednek	热
ren	férfiak	人
renshi	Értem	认识
ri	nap	日
san	három	三
shangdian	Üzlet	商店
shang	Fent	上
shangwu	délelőtt	上午
shao	.	少
shei	ki	谁
shenme	Micsoda?	什么
shi	tíz	十
shihou	idő	时候
shi	egyenlő	是
shu	utasításcsoport	书
shui	víz	水
shuiguo	a gyümölcs	水果
shuijiao	lefeküdni	睡觉
shuohua	beszél	说话
si	négy	四
sui	osztályozó évek óta	岁
ta	ő vagy ő	他
ta	ő	她
tai	magas	太
tianqi	időjárás	天气
ting	hallgatás	听
tongxue	tanulás ugyanabban az iskolában	同学
wei	hírcsatorna	喂
wo	Elfogadom,	我
women	mi	我们
wu	öt	五
xihuan	tetszik	喜欢
xia	le	下
xiawu	délután	下午
xiayu	Esőweather condition	下雨
xianzai	most	现在
xiang	emlékezik	想
xiao	kicsi	小
xiaojie	kisasszony	小姐
xie	egyesek	些
xie	ír	写
xiexie	megköszön	谢谢
xingqi	hét	星期
xuesheng	tanuló	学生
xuexiao	oktatóközpont (mint részleg)	学校
yi	egy	一
yifu	ruházat	衣服
yisheng	orvos	医生
yiyuan	kórház	医院
yizi	szék	椅子
you	probléma	有
yue	hold	月
zai	ekkor	在
zaijian	Elköszönés	再见
zenme	怎麼|怎么[zěn me] változata	怎么
zenmeyang	hogyan	怎么样
zhe	így!	这
zhongguo	Kína	中国
zhongwu	dél	中午
zhu	élő	住
zhuozi	táblázat	桌子
zi	betű	字
zuotian	tegnap	昨天
zuo	ül	坐
zuo	.	做
ba	(modális részecske, amely javaslatot vagy feltételezést jelez)	吧
bai	fehér	白
bai	száz	百
bangzhu	Technikai segítségnyújtás	帮助
baozhi	újság	报纸
bi	(összehasonlításhoz használt részecske és "-er mint")	比
bie	hagy	别
chang	hossz	长
changge	énekelj egy dalt	唱歌
chu	kimegy	出
chuan	átfúrta	穿
chuan	hajó	船
ci	következő a sorban	次
cong	ettől	从
cuo	hiba | elvétés	错
dalanqiu	Kosárlabda	打篮球
dajia	mindenki	大家
danshi	de	但是
dao	eddig	到
de	szerkezeti részecske: ige után használatos	得
dei	kell	得
didi	fiatalabb testvér	弟弟
diyi	első	第一
dong	megértsem	懂
fangjian	egy helyiség	房间
feichang	különös	非常
fuwuyuan	Kellner	服务员
gao	magas	高
gaosu	kijelent	告诉
gege	idősebb testvér	哥哥
gonggongqiche	busz-rendszer	公共汽车
gongjin	kilogramm	公斤
gongsi	cég	公司
gui	Drága	贵
hai	azonban	还
haizi	gyermek	孩子
haochi	Ízletes	好吃
hao	sorszám	号
hei	fekete	黑
hong	vörös	红
huanying	isten hozott	欢迎
huan	visszafizet	还
huida	válasz	回答
jichang	repülőtér	机场
jidan	tojás	鸡蛋
jian	elem	件
jiaoshi	osztályterem	教室
jiejie	idősebb nővér	姐姐
jieshao	hoz	介绍
jin	előleg	进
jin	közel ehhez: 	近
jiu	egyszerre	就
kafei	kávé	咖啡
kaishi	kezd | kezdet	开始
kaoshi	vizsga letétele	考试
keneng	hatalom	可能
ke	tárgy	课
kuai	Gyors	快
lei	fáradt	累
liang	mindkettő	两
lu	út	路
luyou	kirándulás	旅游
mai	elad	卖
man	lassú	慢
mang	mőködés	忙
mei	darab	每
meimei	húgom	妹妹
men	kapuáramkör	门
nanren	Férfit	男人
niunai	tehéntej	牛奶
nuren	nők	女人
pangbian	Laterális	旁边
paobu	sétálj gyorsan	跑步
pianyi	kis előnyök	便宜
piao	bírságolási cédula (parkolásért)	票
qizi	feleség	妻子
qichuang	Kelj fel!	起床
qian	egy hinta	千
qing	törlés	晴
qunian	tavaly	去年
rang	hozam	让
shangban	Menj dolgozni!	上班
shenti	géptest	身体
shengbing	megbetegszik	生病
shengri	születésnap	生日
shiqing	dolog	事情
shoubiao	karóra	手表
shouji	mobil telefon	手机
song	szállít	送
suoyi	ezért	所以
ta	őt	它
ti	rúgás	踢
ti	téma	题
tiaowu	tánc	跳舞
wai	kívül	外
wan	befejezni	完
wan	játék	玩
wanshang	este	晚上
wei	為| változata为	为
wenti	kérdés	问题
xigua	görögdinnye	西瓜
xiwang	kívánni	希望
xi	kimos	洗
xiang	felé	向
xiaoshi	óra	小时
xiao	nevetés	笑
xin	új	新
xing	VEZETÉKNÉV	姓
xiuxi	többit	休息
xue	hó	雪
yanse	szín	颜色
yanjing	szem	眼睛
yangrou	juhhús	羊肉
yao	gyógyszer	药
yao	fontos	要
ye	is gyűlöli.	也
yijing	már	已经
yiqi	ugyanazon a helyen	一起
yisi	gondolat	意思
yin	borult	阴
yinwei	mert	因为
youyong	úszás	游泳
youbian	jobb oldal	右边
yu	hal	鱼
yuan	Kínai pénzegység	元
yuan	távoli	远
yundong	mozgatás	运动
zai	újra	再
zaoshang	Kora reggel	早上
zhang	kinyit	张
zhang	vezető | fő-	长
zhangfu	férj	丈夫
zhao	próbáld megtalálni	找
zhe	aspektusrészecske, amely jelzi a folyamatban lévő műveletet	着
zhen	valóban	真
zhengzai	a következő folyamatában:	正在
zhunbei	előkészítő	准备
zixingche	bicikli	自行车
zou	élsorozat | séta	走
zui	majdnem	最
zuobian	balra	左边
