lang:泰语
baba	พ่อ/บิดา	爸爸
beizi	ถ้วย	杯子
beijing	ปักกิ่ง	北京
ben	รากหรือลำต้นของพืช	本
bukeqi	ไม่เป็นไร	不客气
bu	(นำหน้าด้วยเครื่องหมายลบ)	不
cai	DISH	菜
cha	ชา	茶
chi	กิน (gin)	吃
chuzuche	แท็กซี่	出租车
dadianhua	โทรศัพท์	打电话
da	ใหญ่	大
de	ของ	的
dian	คะแนน	点
diannao	computer	电脑
dianshi	โทรทัศน์	电视
dianying	ภาพยนตร์	电影
dongxi	สิ่งของ	东西
dou	ทั้งหมด	都
du	อ่าน	读
duibuqi	“ ไม่คู่ควร…”	对不起
duo	มี	多
duoshao	ราคาเท่าไหร่	多少
erzi	บ.	儿子
fanguan	ร้านอาหาร	饭馆
feiji	เครื่องบิน (kʰrɨaŋ.bin)	飞机
fenzhong	นาที	分钟
gaoxing	มีความสุข	高兴
ge	ตัวแปรของ 個|个 [gè]	个
gongzuo	งาน	工作
gou	สุนัข	狗
hanyu	ภาษาจีน	汉语
hao	ดี	好
he	เครื่องดื่ม	喝
he	และ	和
hen	(adverb of degree)	很
houmian	หลัง	后面
hui	เส้นโค้ง	回
hui	กระป๋อง	会
huochezhan	สถานีรถไฟ S̄t̄hānī rt̄hfị	火车站
jia	หน้าแรก	家
jiao	ตะโกน 	叫
jintian	วันนี้	今天
kai	เปิด	开
kan	ดู	看
kuai	ก้อน	块
lai	มา	来
laoshi	ครู	老师
le	(modal particle intensifying prioring clause)	了
leng	เย็น	冷
li	ลี้	里
ling	ศูนย์	零
liu	หน้าท้อง	六
mama	โยโกะ	妈妈
ma	(แท็กคำถาม)	吗
mai	ซื้อ	买
mao	แมว	猫
mei	(คำนำหน้าเป็นลบสำหรับคำกริยา)	没
meiguanxi	มันไม่สำคัญว่า	没关系
mifan	ข้าว	米饭
mingtian	วันพรุ่งนี้	明天
mingzi	ชื่อ	名字
na	อย่างไร	哪
na	ที่	那
ne	อนุภาคที่ระบุว่าคำถามที่ถามก่อนหน้านี้จะถูกนำไปใช้กับคำก่อนหน้านี้	呢
neng	สามารถที่จะ	能
ni	คุณ	你
nian	ปี	年
nuer	ลูกสาว	女儿
pengyou	เพื่อน	朋友
piaoliang	gwapa ko	漂亮
pingguo	apple	苹果
qian	เหรียญ	钱
qianmian	ทำอันนี้ก่อน 	前面
qing	ถาม	请
qu	ไป	去
re	ช่วงอบอุ่นร่างกาย	热
ren	ผู้ชาย	人
renshi	ความรู้	认识
ri	ดวงอาทิตย์	日
san	สาม	三
shangdian	ร้านค้า	商店
shang	อัดวางทับบน	上
shangwu	ตอนเช้า	上午
shao	น้อย	少
shei	ใคร	谁
shenme	อะไรนะ	什么
shihou	เวลา	时候
shi	มี	是
shu	หนังสือ	书
shui	น้ำ	水
shuiguo	ผลไม้	水果
shuijiao	เข้านอนดึก	睡觉
shuohua	พูดสิ	说话
sui	ตัวจัดหมวดหมู่สำหรับปี	岁
ta	เขาหรือเขา	他
ta	เธอ	她
tai	สูงที่สุด	太
tianqi	สภาพลมฟ้าอากาศ	天气
ting	รอการติดต่อ	听
tongxue	เรียนที่โรงเรียนเดียวกัน	同学
wei	ป้อนข้อมูล	喂
wo	I	我
women	เรา	我们
xihuan	ถูกใจ	喜欢
xia	ลง	下
xiawu	ตอนบ่าย	下午
xiayu	ฝน	下雨
xianzai	ตอนนี้	现在
xiang	คิด	想
xiao	ขนาดเล็ก	小
xiaojie	แม่สาวน้อย	小姐
xie	บาง	些
xiexie	apunkap	谢谢
xingqi	สัปดาห์	星期
xuesheng	นักเรียน	学生
xuexi	เรียน	学习
xuexiao	โรงเรียน	学校
yi	หนึ่ง	一
yifu	เสื้อผ้า	衣服
yisheng	แพทย์	医生
yiyuan	โรงพยาบาล	医院
yizi	เก้าอี้	椅子
you	มี	有
yue	moon	月
zai	ที่	在
zaijian	ลาก่อน	再见
zenme	ตัวแปรของ 怎麼|怎么 [zěn me]	怎么
zenmeyang	อย่างไร? 	怎么样
zhe	สัญญา	这
zhongguo	จีน	中国
zhongwu	เวลาเที่ยง	中午
zhu	จะมีชีวิตอยู่ 	住
zhuozi	ตาราง	桌子
zi	จดหมาย	字
zuotian	เมื่อวาน	昨天
zuo	SIT	坐
zuo	ควรทำ	做
ba	(modal particle indicating suggestion or surmise)	吧
bai	ขาว	白
bai	ร้อย	百
bangzhu	ความช่วยเหลือ	帮助
baozhi	หนังสือพิมพ์	报纸
bi	(อนุภาคที่ใช้สำหรับการเปรียบเทียบและ "- หรือมากกว่า ")	比
bie	ออก	别
chang	ความยาว	长
changge	ร้องเพลง	唱歌
chu	ออกไปข้างนอก	出
chuan	เจาะผ่าน	穿
chuan	เรือ	船
ci	ลำดับถัดไป	次
cong	จาก	从
cuo	ข้อผิดพลาด	错
dalanqiu	เล่นบาสเก็ตบอล	打篮球
dajia	ทุกคน 	大家
danshi	แต่	但是
dao	สู่	到
de	อนุภาคโครงสร้าง: ใช้หลังคำกริยา	得
dei	ต้อง	得
didi	น้องชาย N̂xng chāy	弟弟
diyi	แรก	第一
dong	การเข้าใจ	懂
fangjian	ห้อง	房间
feichang	ผิดปกติ	非常
fuwuyuan	พนักงานเสิร์ฟชาย	服务员
gao	สูงเกินไป	高
gaosu	บอก	告诉
gege	พี่ชาย	哥哥
gonggongqiche	รถเมล์	公共汽车
gongjin	กิโลกรัม	公斤
gongsi	ราคา	公司
gui	แพง	贵
hai	ภาพนิ่ง	还
haizi	เด็ก	孩子
haochi	อร่อย	好吃
hao	เลขลำดับ	号
hei	ดำ	黑
hong	สีแดง	红
huanying	ยินดีต้อนรับ	欢迎
huan	จ่ายคืน	还
huida	ตอบกลับ	回答
jichang	สนามบิน	机场
jidan	ไข่	鸡蛋
jian	รายการ	件
jiaoshi	ห้องเรียน	教室
jiejie	พี่สาว	姐姐
jieshao	แนะนำตัว	介绍
jin	เดินหน้าเลย	进
jin	ใกล้ๆ	近
